on, transportation, and material moving occupations","15,684","+/-2,345","13,339","18,029"
"C24010H",9.000,"Female:","116,788","+/-4,617","112,171","121,405"
"C24010H",10.000,"Management, professional, and related occupations","47,932","+/-3,139","44,793","51,071"
"C24010H",11.000,"Service occupations","19,566","+/-2,314","17,252","21,880"
"C24010H",12.000,"Sales and office occupations","44,147","+/-3,573","40,574","47,720"
"C24010H",13.000,"Farming, fishing, and forestry occupations","461","+/-414","47","8
