23.000,"No earnings","0","+/-292","0","292"
"C20005G",24.000,"With earnings:","2,589","+/-830","1,759","3,419"
"C20005G",25.000,"$1 to $9,999 or loss","0","+/-292","0","292"
"C20005G",26.000,"$10,000 to $19,999","511","+/-543","0","1,054"
"C20005G",27.000,"$20,000 to $29,999","448","+/-363","85","811"
"C20005G",28.000,"$30,000 to $49,999","448","+/-304","144","752"
"C20005G",29.000,"$50,000 to $74,999","649","+/-484","165","1,133"
"C20005G",30.000,"$75,000 or more","533","+/-311","222","844"
"C20005G",31.00
