07,With retirement income,8.4,+/-0.4,13.0,+/-0.9,16.2,+/-2.3,12.2,+/-0.9,,,,,,
S0503,108,Mean retirement income (dollars),14638,+/-985,18140,+/-2265,21747,+/-4411,16774,+/-2561,,,,,,
S0503,109,With Food Stamp benefits,15.1,+/-0.5,13.1,+/-1.0,1.8,+/-0.9,16.0,+/-1.2,,,,,,
S0503,109.3, ,,,,,,,,,,,,,,
S0503,110,Median Household income (dollars),43422,+/-805,49982,+/-2270,71534,+/-8088,45719,+/-2512,,,,,,
S0503,111,Average number of workers per household,1.40,+/-0.02,1.05,+/-0.03,1.05,+/-0.06,1.06,+/-0.03,,,,,,
