3 ,0.27 ,LBS ,21100
2007 ,472999 ,WOOL ,43 ,Mariposa ,  ,  ,12900 ,0.85 ,LBS ,11000
2007 ,472999 ,WOOL ,45 ,Mendocino ,  ,  ,46500 ,1.44 ,LBS ,67000
2007 ,472999 ,WOOL ,47 ,Merced ,  ,  ,159081 ,0.85 ,LBS ,135000
2007 ,472999 ,WOOL ,53 ,Monterey ,  ,  ,18000 ,0.35 ,LBS ,6300
2007 ,472999 ,WOOL ,77 ,San Joaquin ,  ,  ,58000 ,1.03 ,LBS ,60000
2007 ,472999 ,WOOL ,93 ,Siskiyou ,  ,  ,17500 ,0.35 ,LBS ,6100
2007 ,472999 ,WOOL ,95 ,Solano ,  ,  ,306612 ,0.91 ,LBS ,279000
2007 ,472999 ,WOOL ,97 ,Sonoma ,  
