000,"Boat, RV, van, etc.","N","N","N","N"
"B25032D",.,"UNITS IN STRUCTURE (ASIAN ALONE HOUSEHOLDER)",,,,
"B25032D",.,"Universe:  Occupied housing units with a householder who is Asian alone",,,,
"B25032D",1.000,"Total:","86,736","+/-2,394","84,342","89,130"
"B25032D",2.000,"1, detached","44,620","+/-2,398","42,222","47,018"
"B25032D",3.000,"1, attached","21,325","+/-2,217","19,108","23,542"
"B25032D",4.000,"2","270","+/-239","31","509"
"B25032D",5.000,"3 or 4","1,761","+/-648","1,113","2,409"
"B25032D",6.00
