:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"C11001H",1.000,"Total:","138,666","+/-2,343","136,323","141,009"
"C11001H",2.000,"Family households:","85,882","+/-2,864","83,018","88,746"
"C11001H",3.000,"Married-couple family","70,704","+/-2,579","68,125","73,283"
"C11001H",4.000,"Other family","15,178","+/-1,997","13,181","17,175"
"C11001H",5.000,"Nonfamily households","52,784","+/-2,820","49,964","55,604"
"C11001I",.,"HOUSEHOLD TYPE (HISPANIC OR LATINO)",,,,
"C11001I",.,
