001D",.,"Universe:  Asian alone population for whom poverty status is determined",,,,
"B17001D",1.000,"Total:","N","N","N","N"
"B17001D",2.000,"Income in the past 12 months below poverty level:","N","N","N","N"
"B17001D",3.000,"Male:","N","N","N","N"
"B17001D",4.000,"Under 5 years","N","N","N","N"
"B17001D",5.000,"5 years","N","N","N","N"
"B17001D",6.000,"6 to 11 years","N","N","N","N"
"B17001D",7.000,"12 to 14 years","N","N","N","N"
"B17001D",8.000,"15 years","N","N","N","N"
"B17001D",9.000,"16 and 17 year
