0.1","0.3","+/-0.1","8.1","+/-0.1"
"S2405",2.0,"Agriculture, forestry, fishing and hunting, and mining","214,045","+/-6,523","48.7","+/-1.6","4.4","+/-0.7","5.7","+/-0.7","27.4","+/-1.3","7.5","+/-0.9"
"S2405",3.0,"Construction","1,534,613","+/-19,394","16.2","+/-0.5","0.5","+/-0.1","7.4","+/-0.3","0.0","+/-0.1","71.8","+/-0.6"
"S2405",4.0,"Manufacturing","3,715,092","+/-26,632","28.3","+/-0.3","1.6","+/-0.1","13.9","+/-0.3","0.0","+/-0.1","5.9","+/-0.2"
"S2405",5.0,"Wholesale trade","841,089","+/-17,163","
