997/q2/,inq21997.tgz,1315901.nc,19970621,19.6167,63.9833,1.00000,460.000,12.8600,29.9200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1315902.nc,19970622,20.3333,63.1000,1.00000,460.000,13.3800,30.0000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1315903.nc,19970622,22.9167,60.0833,1.00000,460.000,13.0000,29.5400,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1315904.nc,19970623,23.8500,58.9167,1.00000,460.000,13.7000,29.7700,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq2
