N","N","N","N","N",,,,
"S2301",16.3,,,,,,,,,,,,,
"S2301",17.0,"Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N",,,,
"S2301",18.0,"White alone, not Hispanic or Latino","42,214","+/-395","61.3","+/-3.2","58.5","+/-3.2","3.1","+/-1.7",,,,
"S2301",18.3,,,,,,,,,,,,,
"S2301",19.0,"Population 20 to 64 years","62,427","+/-1,109","66.7","+/-2.3","60.5","+/-2.8","8.4","+/-2.9",,,,
"S2301",19.5,"SEX",,,,,,,,,,,,
"S2301",20.0,"Male","33,706","+/-773","67.4","+/-3.1","60.6","+/-3.8","8.6","+/-4.1
