ng alone,"8,899","1,100","1,189","3,381","1,365",476,892,318,98,79
..Living with nonrelatives,319,15,24,103,70,8,26,50,13,11
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"7,510",555,843,"3,187","1,067",370,885,406,102,96
..Other,"1,373",244,238,561,101,51,124,36,7,11
.NONRELATIVE,,,,,,,,,,
..Nonrelative,291,35,38,87,27,29,26,40,7,2
15 to 17 years,,,,,,,,,,
.Total,"7,981","1,480","6,380",78,37,3,3,-,-,-
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,7,-,5,2,-,-,-,-,-,-
..Other family househ
