0,"1 vehicle available","19,975","+/-2,453","17,522","22,428"
"C08014",9.000,"2 vehicles available","54,382","+/-3,355","51,027","57,737"
"C08014",10.000,"3 or more vehicles available","36,288","+/-2,751","33,537","39,039"
"C08014",11.000,"Female:","95,452","+/-3,773","91,679","99,225"
"C08014",12.000,"No vehicle available","2,991","+/-871","2,120","3,862"
"C08014",13.000,"1 vehicle available","21,881","+/-2,161","19,720","24,042"
"C08014",14.000,"2 vehicles available","40,084","+/-3,048","37,036","43,132"
