torcycle, bicycle, or other means","15,824","+/-2,147","13,677","17,971"
"B08105A",7.000,"Worked at home","84,441","+/-4,242","80,199","88,683"
"B08105B",.,"MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B08105B",.,"Universe:  Black or African American alone workers 16 years and over",,,,
"B08105B",1.000,"Total:","339,678","+/-6,667","333,011","346,345"
"B08105B",2.000,"Car, truck, or van - drove alone","269,234","+/-6,512","262,722","275,746"
"B08105B",3.000,"Car, truck, or van - c
