nce and insurance, and real estate and rental and leasing:","59,286","+/-3,963","55,323","63,249"
"B24040",87.000,"Finance and insurance","39,903","+/-3,295","36,608","43,198"
"B24040",88.000,"Real estate and rental and leasing","19,383","+/-2,425","16,958","21,808"
"B24040",89.000,"Professional, scientific, and management, and administrative and waste management services:","163,204","+/-6,095","157,109","169,299"
"B24040",90.000,"Professional, scientific, and technical services","129,349","+/-5,434","123,9
