19",3.000,"Renter occupied (dollars)","37,400","+/-2,158","35,242","39,558"
"B25120",.,"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY TENURE AND MORTGAGE STATUS",,,,
"B25120",.,"Universe:  Occupied housing units",,,,
"B25120",1.000,"Aggregate household income in the past 12 months (in 2007 inflation-adjusted dollars):","21,568,454,200","+/-878,151,177","20,690,303,023","22,446,605,377"
"B25120",2.000,"Owner occupied :","17,018,540,500","+/-857,802,992","16,160,737,
