0,"1 to 4 years","95,070","+/-3,871","91,199","98,941"
"B07401",19.0000,"5 to 17 years","340,869","+/-5,882","334,987","346,751"
"B07401",20.0000,"18 and 19 years","40,329","+/-1,922","38,407","42,251"
"B07401",21.0000,"20 to 24 years","96,061","+/-4,080","91,981","100,141"
"B07401",22.0000,"25 to 29 years","98,242","+/-4,210","94,032","102,452"
"B07401",23.0000,"30 to 34 years","102,734","+/-2,640","100,094","105,374"
"B07401",24.0000,"35 to 39 years","128,876","+/-4,579","124,297","133,455"
"B07401",25.00
