601",22.0,"18-64 years","309,350","+/-13,039","62.6","+/-2.0","37.4","+/-2.0",,,,,,
"S1601",23.0,"65 years and over","32,647","+/-3,154","45.3","+/-4.5","54.7","+/-4.5",,,,,,
"S1601",23.3,,,,,,,,,,,,,
"S1601",23.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1601",24.0,"Language status","1.9","(X)","(X)","(X)","(X)","(X)",,,,,,
"S1601",25.0,"Language status (speak a language other than English)","2.0","(X)","(X)","(X)","(X)","(X)",,,,,,
"S1601",26.0,"Ability to speak English","3.6","(X)","(X)","(X)","(X)","(X)",,,,,,
"S
