ne",16,"75 years and over","7.5","+/-0.1","2.0","+/-0.5"
"070","Some other race alone",17,"Median age (years)","36.8","+/-0.3","28.2","+/-0.7"
"070","Some other race alone",18,"18 years and over","76.2","+/-0.1","68.2","+/-1.5"
"070","Some other race alone",19,"21 years and over","71.5","+/-0.3","62.8","+/-1.7"
"070","Some other race alone",20,"62 years and over","17.8","+/-0.2","6.9","+/-1.0"
"070","Some other race alone",21,"65 years and over","14.8","+/-0.1","5.5","+/-0.7"
"070","Some other race alone",2
