.000,"Speak English ""not at all""","N","N","N","N"
"B16005B",41.000,"Speak other languages:","N","N","N","N"
"B16005B",42.000,"Speak English ""very well""","N","N","N","N"
"B16005B",43.000,"Speak English ""well""","N","N","N","N"
"B16005B",44.000,"Speak English ""not well""","N","N","N","N"
"B16005B",45.000,"Speak English ""not at all""","N","N","N","N"
"B16005C",.,"NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)"
