us ,  ,  ,2379000 ,0.75 ,EACH ,1784000
2007 ,652299 ,EGGS TURKEY HATCHING ,991 ,Sum of Others ,  ,  ,667685 ,16.13 ,DOZ ,10770400
2007 ,652299 ,EGGS TURKEY HATCHING , 999, State Totals,0 ,  ,3046685 ,4.12 ,    ,12554400
2007 ,659999 ,EGGS UNSPECIFIED ,19 ,Fresno ,  ,  ,4403000 ,4.28 ,DOZ ,18845000
2007 ,659999 ,EGGS UNSPECIFIED ,29 ,Kern ,  ,  ,  ,  ,  ,39172000
2007 ,659999 ,EGGS UNSPECIFIED ,47 ,Merced ,  ,  ,208163 ,7.72 ,DOZ ,1608000
2007 ,659999 ,EGGS UNSPECIFIED ,85 ,Santa Clara ,  ,  ,  ,  ,  ,
