.000,"$100,000 to $149,999","13,280","+/-1,799","11,481","15,079"
"C19131",12.000,"$150,000 to $199,999","9,185","+/-1,343","7,842","10,528"
"C19131",13.000,"$200,000 or more","14,339","+/-1,436","12,903","15,775"
"C19131",14.000,"No own children under 18 years:","70,136","+/-3,024","67,112","73,160"
"C19131",15.000,"Less than $10,000","449","+/-201","248","650"
"C19131",16.000,"$10,000 to $14,999","652","+/-372","280","1,024"
"C19131",17.000,"$15,000 to $24,999","1,929","+/-649","1,280","2,578"
"C19131",18
