1",.,"Universe:  Families",,,,
"B19131",1.000,"Total:","196,646","+/-5,675","190,971","202,321"
"B19131",2.000,"Married-couple family:","142,288","+/-4,965","137,323","147,253"
"B19131",3.000,"With own children under 18 years:","59,157","+/-4,097","55,060","63,254"
"B19131",4.000,"Less than $10,000","719","+/-508","211","1,227"
"B19131",5.000,"$10,000 to $14,999","506","+/-480","26","986"
"B19131",6.000,"$15,000 to $19,999","1,100","+/-687","413","1,787"
"B19131",7.000,"$20,000 to $24,999","1,358","+/-660",
