tion, maintenance, and repair occupations","13.8","+/-1.1","11.5","+/-3.0"
"529","English (015, 022)",182,"Production, transportation, and material moving occupations","11.7","+/-1.1","7.4","+/-2.3"
"529","English (015, 022)",183,"Male civilian employed population 16 years and over","213,827","+/-4,808","25,383","+/-2,985"
"529","English (015, 022)",184,"Management, professional, and related occupations","25.9","+/-1.6","34.2","+/-4.1"
"529","English (015, 022)",185,"Service occupations","18.0","+/-1.5","12
