 LAKE,INDIAN RIVER,FL,27.73,-80.75,STORM SPOTTER AT MIDDLETON FISH CAMP RECORDED 72 MPH WIND GUST ON HOME WEATHER STATION,ALSO OBSERVED PEA SIZE HAIL AND FIVE INCH DIAMETER TREE SPLIT IN HALF. (MLB)
2035,UNK,MIDWAY,BOONE,MO,38.98,-92.45,LARGE TREE DOWN...ALSO 4-5 INCHES OF STANDING WATER (LSX)
2037,UNK,1 N WALTHALL,WEBSTER,MS,33.62,-89.28,A FEW SMALL TREES WERE BLOWN DOWN 1 N OF TOWN. (JAN)
2055,UNK,3 E NEVADA,VERNON,MO,37.84,-94.3,SEVERE THUNDERSTORM WIND GUSTS DAMAGED A ROOF OF A FRAME HOME THREE MILES EA
