one or in combination with one or more other races",53,"Not living alone","3.8","+/-0.6","3.8","+/-0.7"
"003","White alone or in combination with one or more other races",54,"Female householder","15.3","+/-1.2","16.2","+/-1.2"
"003","White alone or in combination with one or more other races",55,"Living alone","12.5","+/-1.0","13.1","+/-1.1"
"003","White alone or in combination with one or more other races",56,"Not living alone","2.8","+/-0.6","3.0","+/-0.6"
"003","White alone or in combination with one or 
