to $39,999","567","+/-336","231","903"
"B19001G",9.000,"$40,000 to $44,999","717","+/-329","388","1,046"
"B19001G",10.000,"$45,000 to $49,999","721","+/-444","277","1,165"
"B19001G",11.000,"$50,000 to $59,999","1,168","+/-525","643","1,693"
"B19001G",12.000,"$60,000 to $74,999","1,688","+/-524","1,164","2,212"
"B19001G",13.000,"$75,000 to $99,999","2,066","+/-697","1,369","2,763"
"B19001G",14.000,"$100,000 to $124,999","1,940","+/-702","1,238","2,642"
"B19001G",15.000,"$125,000 to $149,999","1,731","+/-759"
