,25.000,"Less than $10,000","4,624","+/-1,041","3,583","5,665"
"C19037B",26.000,"$10,000 to $14,999","4,574","+/-1,124","3,450","5,698"
"C19037B",27.000,"$15,000 to $24,999","8,235","+/-1,747","6,488","9,982"
"C19037B",28.000,"$25,000 to $34,999","11,066","+/-1,658","9,408","12,724"
"C19037B",29.000,"$35,000 to $49,999","14,074","+/-1,704","12,370","15,778"
"C19037B",30.000,"$50,000 to $74,999","22,452","+/-2,280","20,172","24,732"
"C19037B",31.000,"$75,000 to $99,999","14,019","+/-1,887","12,132","15,906"
