population",56,"Not living alone",,,"2.8","+/-0.6"
"001","Total population",57,"Average household size",,,"2.65","+/-0.03"
"001","Total population",58,"Average family size",,,"3.23","+/-0.06"
"001","Total population",59,"Population 15 years and over",,,"637,673","+/-5,662"
"001","Total population",60,"Now married, except separated",,,"51.4","+/-1.2"
"001","Total population",61,"Widowed",,,"5.5","+/-0.4"
"001","Total population",62,"Divorced",,,"13.9","+/-0.9"
"001","Total population",63,"Separated",,,"2.3",
