17010",15.000,"With related children under 18 years","3,146","+/-902","2,244","4,048"
"C17010",16.000,"Female householder, no husband present","16,188","+/-1,920","14,268","18,108"
"C17010",17.000,"With related children under 18 years","7,473","+/-1,329","6,144","8,802"
"C17010A",.,"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS (WHITE ALONE HOUSEHOLDER)",,,,
"C17010A",.,"Universe:  Families with a householder who is White alone",,,,
"C17010A",
