it","2.70","**","2.78","**",
"DP04",48.0,"Average household size of renter-occupied unit","2.07","**","2.20","**",
"DP04",48.3,,,,,,
"DP04",48.5,"YEAR HOUSEHOLDER MOVED INTO UNIT",,,,,
"DP04",49.0,"Occupied housing units","36,207","989","34,837","844",
"DP04",50.0,"Moved in 2005 or later","22.9%","2.8","19.5%","2.4",
"DP04",51.0,"Moved in 2000 to 2004","22.7%","2.4","20.0%","2.3",
"DP04",52.0,"Moved in 1990 to 1999","23.4%","2.3","29.4%","2.3","*"
"DP04",53.0,"Moved in 1980 to 1989","12.7%","1.5","13.1%","1
