le town,Washington,413,411,418,420,420
.Palouse city,Washington,986,988,"1,006","1,011","1,011"
.Pullman city,Washington,"24,929","24,697","24,699","24,675","24,675"
.Rosalia town,Washington,630,631,645,648,648
.St. John town,Washington,543,539,546,548,548
.Tekoa city,Washington,807,807,822,826,826
.Uniontown town,Washington,336,336,343,345,345
.Balance of Whitman County,Washington,"6,144","6,135","6,271","6,305","6,305"
Yakima County,Washington,"224,823","223,366","222,781","222,581","222,581"
.Grandview c
