","Not Hispanic or Latino",23,"Male","49.4","+/-1.2","50.2","+/-1.2"
"450","Not Hispanic or Latino",24,"Female","50.6","+/-1.2","49.8","+/-1.2"
"450","Not Hispanic or Latino",25,"18 years and over","602,644","+/-5,523","508,986","+/-3,938"
"450","Not Hispanic or Latino",26,"Male","51.0","+/-0.3","50.4","+/-0.3"
"450","Not Hispanic or Latino",27,"Female","49.0","+/-0.3","49.6","+/-0.3"
"450","Not Hispanic or Latino",28,"18 to 34 years","178,662","+/-4,959","133,626","+/-4,197"
"450","Not Hispanic or Latino",
