4,999","3,079","+/-773","2,306","3,852"
"B19037H",62.000,"$45,000 to $49,999","2,104","+/-670","1,434","2,774"
"B19037H",63.000,"$50,000 to $59,999","3,541","+/-846","2,695","4,387"
"B19037H",64.000,"$60,000 to $74,999","2,527","+/-681","1,846","3,208"
"B19037H",65.000,"$75,000 to $99,999","2,429","+/-676","1,753","3,105"
"B19037H",66.000,"$100,000 to $124,999","505","+/-337","168","842"
"B19037H",67.000,"$125,000 to $149,999","603","+/-371","232","974"
"B19037H",68.000,"$150,000 to $199,999","158","+/-188"
