POPULATION 18 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"C21001H",.,"Universe: White alone, not Hispanic or Latino civilian population 18 years and over",,,,
"C21001H",1.000,"Total:","263,971","+/-863","263,108","264,834"
"C21001H",2.000,"Male:","129,888","+/-661","129,227","130,549"
"C21001H",3.000,"18 to 64 years:","104,340","+/-654","103,686","104,994"
"C21001H",4.000,"Veteran","12,342","+/-1,343","10,999","13,685"
"C21001H",5.000,"Nonveteran","91,998","+/-1,492","90,506","93,490"
"C21001
