band present, family:","N","N","N","N"
"B11002C",10.000,"Relatives","N","N","N","N"
"B11002C",11.000,"Nonrelatives","N","N","N","N"
"B11002C",12.000,"In nonfamily households","N","N","N","N"
"B11002D",.,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE)",,,,
"B11002D",.,"Universe:  Population in households with a householder who is Asian alone",,,,
"B11002D",1.000,"Total:","267,548","+/-4,891","262,657","272,439"
"B11002D",2.000,"In family households:","245,179","+/-5,1
