.7"
"529","English (015, 022)",143,"Foreign-born population excluding population born at sea","130,510","+/-7,225","2,677","+/-965"
"529","English (015, 022)",144,"Europe","11.5","+/-1.6","N","N"
"529","English (015, 022)",145,"Asia","14.9","+/-1.6","N","N"
"529","English (015, 022)",146,"Africa","2.2","+/-1.1","N","N"
"529","English (015, 022)",147,"Oceania","0.3","+/-0.2","N","N"
"529","English (015, 022)",148,"Latin America","67.6","+/-2.5","N","N"
"529","English (015, 022)",149,"Northern America","3.5",
