1013",.,"SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS",,,,
"B11013",.,"Universe:  Subfamilies",,,,
"B11013",1.000,"Total:","1,621","+/-615","1,006","2,236"
"B11013",2.000,"Married-couple subfamily:","1,113","+/-513","600","1,626"
"B11013",3.000,"With own children under 18 years","395","+/-295","100","690"
"B11013",4.000,"No own children under 18 years","718","+/-461","257","1,179"
"B11013",5.000,"Mother-child subfamily","466","+/-344","122","810"
"B11013",6.000,"Father-child subfamily","42","+/
