ns/sc/indian/1997/q2/,inq21997.tgz,1313664.nc,19970527,-12.4000,55.3833,3.00000,913.000,6.03000,27.2600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313665.nc,19970528,-13.9000,55.4000,3.00000,913.000,6.08000,27.1900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313666.nc,19970528,-15.1000,55.3333,3.00000,902.000,5.48000,27.0200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313667.nc,19970528,-17.9167,55.3500,3.00000,908.000,5.69000,26.0900,,
woce-uot,./data/basins/sc/in
