99 ,CATTLE MILK COWS CULL ,53 ,Monterey ,  ,  ,  ,  ,  ,193000
2007 ,403599 ,CATTLE MILK COWS CULL ,57 ,Nevada ,  ,  ,  ,  ,  ,616200
2007 ,403599 ,CATTLE MILK COWS CULL ,71 ,San Bernardino ,  ,  ,  ,  ,  ,18140000
2007 ,403599 ,CATTLE MILK COWS CULL ,85 ,Santa Clara ,  ,  ,  ,  ,  ,1018000
2007 ,403599 ,CATTLE MILK COWS CULL ,99 ,Stanislaus ,  ,  ,  ,  ,  ,30918000
2007 ,403599 ,CATTLE MILK COWS CULL , 999, State Totals,0 ,  ,0 ,  ,    ,75499200
2007 ,401599 ,CATTLE STEERS ,27 ,Inyo ,  ,  ,  ,  ,  ,3
