,0 ,  ,9965941 ,18.72 ,    ,186595300
2007 ,501199 ,MILK MARKET FLUID ,7 ,Butte ,  ,  ,40683 ,14.33 ,CWT ,583000
2007 ,501199 ,MILK MARKET FLUID ,15 ,Del Norte ,  ,  ,505385 ,20.47 ,CWT ,10343300
2007 ,501199 ,MILK MARKET FLUID ,19 ,Fresno ,  ,  ,27075000 ,18.16 ,CWT ,491682000
2007 ,501199 ,MILK MARKET FLUID ,21 ,Glenn ,  ,  ,3697237 ,18.22 ,CWT ,67364000
2007 ,501199 ,MILK MARKET FLUID ,23 ,Humboldt ,  ,  ,1695994 ,12.19 ,CWT ,20674200
2007 ,501199 ,MILK MARKET FLUID ,29 ,Kern ,  ,  ,37910000 ,18.24
