4,766",9.2
..Office and administrative support occupations,"9,839",9.3,"1,362",2.5,"8,477",16.4
".Farming, fishing, and forestry occupations","4,624",4.4,"2,956",5.5,"1,668",3.2
".Agriculture workers, including supervisors","4,449",4.2,"2,792",5.2,"1,657",3.2
".Fishing, hunting, and forestry occupations",175,0.2,164,0.3,11,-
".Construction, extraction and maintenance occupations","4,206",4.0,"3,974",7.4,232,0.4
..Construction and extraction occupations,"2,082",2.0,"1,928",3.6,154,0.3
"..Installation, mainte
