3"
"DP04",9.0,"2 units","61,684","+/-3,809","2.6","+/-0.2"
"DP04",10.0,"3 or 4 units","118,579","+/-5,429","4.9","+/-0.2"
"DP04",11.0,"5 to 9 units","136,153","+/-5,560","5.6","+/-0.2"
"DP04",12.0,"10 to 19 units","165,182","+/-7,259","6.8","+/-0.3"
"DP04",13.0,"20 or more units","611,250","+/-10,661","25.3","+/-0.4"
"DP04",14.0,"Mobile home","57,351","+/-3,661","2.4","+/-0.2"
"DP04",15.0,"Boat, RV, van, etc.","1,363","+/-648","0.1","+/-0.1"
"DP04",15.3,,,,,
"DP04",15.5,"YEAR STRUCTURE BUILT",,,,
"DP04",16.
