other races, not Hispanic or Latino",294,"Median gross rent (dollars)","710","+/-22","763","+/-22"
"529","English (015, 022)",1,"Total population","967,089","*****","98,484","+/-6,083"
"529","English (015, 022)",2,"One race","96.8","+/-0.5","N","N"
"529","English (015, 022)",3,"Two races","3.0","+/-0.4","N","N"
"529","English (015, 022)",4,"Three races","0.2","+/-0.1","N","N"
"529","English (015, 022)",5,"Four or more races","0.0","+/-0.1","N","N"
"529","English (015, 022)",6,"Male","48.9","+/-0.1","44.5","
