 sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,
..Total ,"14,143,363","192,781","92,223","204,202","561,996","602,495","833,286","978,425","902,774",,,,,,,,
,,,,,,,,,,,,,,,,,
Native ,"12,965,669","156,496","80,573","171,293","518,123","563,858","791,771","933,533","797,
