2,000 or more","424","+/-244","180","668"
"B25056",24.000,"No cash rent","146","+/-149","0","295"
"B25057",.,"LOWER CONTRACT RENT QUARTILE (DOLLARS)",,,,
"B25057",.,"Universe:  Renter-occupied housing units paying cash rent",,,,
"B25057",1.000,"Lower contract rent quartile","762","+/-67","695","829"
"B25058",.,"MEDIAN CONTRACT RENT (DOLLARS)",,,,
"B25058",.,"Universe:  Renter-occupied housing units paying cash rent",,,,
"B25058",1.000,"Median contract rent","1,013","+/-65","948","1,078"
"B25059",.,"UPPER CO
