,117.0,"15.0 to 19.9 percent","4,845","+/-746","4.5","+/-0.7"
"DP04",118.0,"20.0 to 24.9 percent","2,269","+/-613","2.1","+/-0.6"
"DP04",119.0,"25.0 to 29.9 percent","1,397","+/-503","1.3","+/-0.5"
"DP04",120.0,"30.0 to 34.9 percent","1,331","+/-517","1.2","+/-0.5"
"DP04",121.0,"35.0 percent or more","3,511","+/-847","3.2","+/-0.8"
"DP04",122.0,"Not computed","45","+/-46","100","(X)"
"DP04",122.3,,,,,
"DP04",122.5,"GROSS RENT",,,,
"DP04",123.0,"Renter-occupied units","41,312","+/-2,344","100","(X)"
"DP04",1
