sportation, and material moving occupations:","N","N","N","N"
"B24010I",62.000,"Production occupations","N","N","N","N"
"B24010I",63.000,"Transportation and material moving occupations","N","N","N","N"
"B24011",.,"OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,
"B24011",.,"Universe:  Civilian employed population 16 years and over with earnings",,,,
"B24011",1.000,"Total:","25,315","+/-850","24,465","26,165"
