Washington,"13,957","13,308","12,671","12,534","12,534"
.La Center city,Washington,"1,755","1,712","1,663","1,654","1,654"
.Ridgefield city,Washington,"2,212","2,184","2,152","2,147","2,147"
.Vancouver city,Washington,"149,811","147,417","144,170","143,593","143,560"
.Washougal city,Washington,"9,197","8,859","8,651","8,614","8,595"
.Woodland city (pt.),Washington,98,96,93,92,92
.Yacolt town,Washington,"1,115","1,090","1,060","1,055","1,055"
.Balance of Clark County,Washington,"182,191","175,004","167,726",
