n and Alaska Native alone population",,,,
"B01002C",0.700,"Median age --",,,,
"B01002C",1.000,"Total:","36.8","+/-4.9","31.9","41.7"
"B01002C",2.000,"Male","38.1","+/-5.3","32.8","43.4"
"B01002C",3.000,"Female","36.5","+/-12.0","24.5","48.5"
"B01002D",.,"MEDIAN AGE BY SEX (ASIAN ALONE)",,,,
"B01002D",.,"Universe:  Asian alone population",,,,
"B01002D",0.700,"Median age --",,,,
"B01002D",1.000,"Total:","35.7","+/-0.3","35.4","36.0"
"B01002D",2.000,"Male","35.3","+/-0.5","34.8","35.8"
"B01002D",3.000,"Female"
