001",.,"POPULATION UNDER 18 YEARS BY AGE",,,,
"B09001",.,"Universe:  Population under 18 years",,,,
"B09001",1.000,"Total:","124,336","+/-1,133","123,203","125,469"
"B09001",2.000,"In households:","123,818","+/-1,147","122,671","124,965"
"B09001",3.000,"Under 3 years","19,681","+/-1,629","18,052","21,310"
"B09001",4.000,"3 and 4 years","15,186","+/-1,653","13,533","16,839"
"B09001",5.000,"5 years","5,708","+/-1,159","4,549","6,867"
"B09001",6.000,"6 to 8 years","19,600","+/-1,926","17,674","21,526"
"B09001"
