00,"40 to 44 years","141,938","+/-3,994","137,944","145,932"
"B07401",26.0000,"45 to 49 years","156,964","+/-2,467","154,497","159,431"
"B07401",27.0000,"50 to 54 years","143,639","+/-2,470","141,169","146,109"
"B07401",28.0000,"55 to 59 years","120,751","+/-3,809","116,942","124,560"
"B07401",29.0000,"60 to 64 years","94,455","+/-3,686","90,769","98,141"
"B07401",30.0000,"65 to 69 years","71,123","+/-3,436","67,687","74,559"
"B07401",31.0000,"70 to 74 years","56,562","+/-3,121","53,441","59,683"
"B07401",3
