0,"Median earnings in the past 12 months (in 2007 inflation-adjusted dollars) --",,,,
"B20017H",1.000,"Total:","22,532","+/-823","21,709","23,355"
"B20017H",1.700,"Male --",,,,
"B20017H",2.000,"Total","30,617","+/-910","29,707","31,527"
"B20017H",3.000,"Worked full-time, year-round in the past 12 months","38,846","+/-1,923","36,923","40,769"
"B20017H",4.000,"Other","11,722","+/-1,101","10,621","12,823"
"B20017H",4.700,"Female --",,,,
"B20017H",5.000,"Total","17,140","+/-881","16,259","18,021"
"B20017H",6.00
