226,256","1,230,381","1,238,040","1,238,929","1,238,377","1,238,342"
,,,,,,,
.Median age (years),38.0,37.7,37.4,37.2,36.7,36.6,36.6
MALE,"1,454,107","1,447,025","1,442,276","1,439,497","1,437,003","1,435,541","1,435,515"
.Under 5 years,"92,522","92,779","93,412","93,932","96,241","96,726","96,723"
.5 to 9 years,"92,469","94,586","97,079","99,101","102,967","103,826","103,822"
.10 to 14 years,"100,996","103,581","105,105","105,679","107,758","108,102","108,101"
.15 to 19 years,"107,751","108,463","110
