,"Mining","0","+/-303","0","303"
"B24050",140.000,"Construction","31,621","+/-3,935","27,686","35,556"
"B24050",141.000,"Manufacturing","839","+/-445","394","1,284"
"B24050",142.000,"Wholesale trade","322","+/-267","55","589"
"B24050",143.000,"Retail trade","2,606","+/-1,066","1,540","3,672"
"B24050",144.000,"Transportation and warehousing, and utilities:","1,529","+/-708","821","2,237"
"B24050",145.000,"Transportation and warehousing","474","+/-451","23","925"
"B24050",146.000,"Utilities","1,055","+/-537",
