75 to 84 years","2,152","+/-392","1,760","2,544"
"B01001I",31.000,"85 years and over","694","+/-392","302","1,086"
"B01002",.,"MEDIAN AGE BY SEX",,,,
"B01002",.,"Universe:  Total population",,,,
"B01002",0.700,"Median age --",,,,
"B01002",1.000,"Total:","40.1","+/-0.3","39.8","40.4"
"B01002",2.000,"Male","38.8","+/-0.4","38.4","39.2"
"B01002",3.000,"Female","41.2","+/-0.4","40.8","41.6"
"B01002A",.,"MEDIAN AGE BY SEX (WHITE ALONE)",,,,
"B01002A",.,"Universe:  White alone population",,,,
"B01002A",0.700,"Med
