000,"Woodworkers","0","+/-292","0","292"
"B24010",115.000,"Plant and system operators","689","+/-458","231","1,147"
"B24010",116.000,"Other production occupations including supervisors","3,188","+/-823","2,365","4,011"
"B24010",117.000,"Transportation and material moving occupations:","14,292","+/-2,178","12,114","16,470"
"B24010",118.000,"Supervisors, transportation and material moving workers","622","+/-455","167","1,077"
"B24010",119.000,"Air transportation workers","193","+/-193","0","386"
"B24010",120.
