van, etc.","222","+/-215","7","437"
"B25032",.,"TENURE BY UNITS IN STRUCTURE",,,,
"B25032",.,"Universe:  Occupied housing units",,,,
"B25032",1.000,"Total:","1,661,033","+/-7,953","1,653,080","1,668,986"
"B25032",2.000,"Owner-occupied housing units:","1,250,426","+/-10,485","1,239,941","1,260,911"
"B25032",3.000,"1, detached","1,006,396","+/-10,132","996,264","1,016,528"
"B25032",4.000,"1, attached","151,890","+/-5,156","146,734","157,046"
"B25032",5.000,"2","1,660","+/-676","984","2,336"
"B25032",6.000,"3 
