         252","     20.5","   +/-1.6","               9.3","               +/-5.7"
"S0201","         253","     12.9","   +/-0.8","               6.8","               +/-1.3"
"S0201","         254","     13.0","   +/-0.9","               7.3","               +/-1.6"
"S0201","         255","     11.7","   +/-1.1","               4.1","               +/-1.9"
"S0201","         256","     13.9","   +/-1.0","               6.0","               +/-2.4"
"S0201","         257","     25.8","   +/-1.6","             
