37.000,"Less than $10,000","495","+/-332","163","827"
"B19037B",38.000,"$10,000 to $14,999","133","+/-150","0","283"
"B19037B",39.000,"$15,000 to $19,999","531","+/-372","159","903"
"B19037B",40.000,"$20,000 to $24,999","534","+/-536","0","1,070"
"B19037B",41.000,"$25,000 to $29,999","518","+/-360","158","878"
"B19037B",42.000,"$30,000 to $34,999","426","+/-370","56","796"
"B19037B",43.000,"$35,000 to $39,999","0","+/-303","0","303"
"B19037B",44.000,"$40,000 to $44,999","289","+/-312","0","601"
"B19037B",45
