4.0","+/-3.9"
"716","Central America:",143,"Foreign-born population excluding population born at sea","130,510","+/-7,225","82,528","+/-6,596"
"716","Central America:",144,"Europe","11.5","+/-1.6","N","N"
"716","Central America:",145,"Asia","14.9","+/-1.6","N","N"
"716","Central America:",146,"Africa","2.2","+/-1.1","N","N"
"716","Central America:",147,"Oceania","0.3","+/-0.2","N","N"
"716","Central America:",148,"Latin America","67.6","+/-2.5","N","N"
"716","Central America:",149,"Northern America","3.5","
