m","0.5%","0.2","0.7%","0.2",
"DP04",39.0,"1 bedroom","11.7%","0.6","12.4%","0.6",
"DP04",40.0,"2 bedrooms","18.7%","0.8","19.7%","0.8",
"DP04",41.0,"3 bedrooms","30.8%","0.8","31.1%","0.9",
"DP04",42.0,"4 bedrooms","29.6%","0.8","27.6%","0.7","*"
"DP04",43.0,"5 or more bedrooms","8.8%","0.5","8.5%","0.4",
"DP04",43.3,,,,,,
"DP04",43.5,"HOUSING TENURE",,,,,
"DP04",44.0,"Occupied housing units","237,501","1,730","239,592","1,396",
"DP04",45.0,"Owner-occupied","78.7%","0.8","78.6%","0.8",
"DP04",46.0,"Renter-
