GONIER,WESTMORELAND,PA,40.24,-79.24,TREE DOWN. (PBZ)
2030,60,1 N ROCKYFORD,SHANNON,SD,43.51,-102.5,(UNR)
2125,70,15 NE STURGIS,MEADE,SD,44.56,-103.3,60 TO 70 MPH WIND WITH QUARTER SIZE HAIL. (UNR)
2205,60,20 E STURGIS,MEADE,SD,44.41,-103.11,60 MPH WIND WITH PENNY SIZE HAIL. (UNR)
2211,UNK,2 SW HILLSDALE,HILLSDALE,MI,41.91,-84.66,TREE DOWN JUST SOUTHWEST OF HILLSDALE...2.5 FEET IN DIAMETER. ALSO SEVERAL REPORTS OF SMALL TREES DOWN IN HILLSDALE. (IWX)
2240,60,4 NNW HEREFORD,MEADE,SD,44.44,-102.91,(UNR)
2244,U
