000 to $14,999","143","+/-164","0","307"
"C19037I",38.000,"$15,000 to $24,999","447","+/-283","164","730"
"C19037I",39.000,"$25,000 to $34,999","865","+/-389","476","1,254"
"C19037I",40.000,"$35,000 to $49,999","696","+/-435","261","1,131"
"C19037I",41.000,"$50,000 to $74,999","490","+/-304","186","794"
"C19037I",42.000,"$75,000 to $99,999","512","+/-369","143","881"
"C19037I",43.000,"$100,000 to $149,999","509","+/-283","226","792"
"C19037I",44.000,"$150,000 to $199,999","139","+/-133","6","272"
"C19037I",
