nagement, and administrative and waste management services:","3,042","+/-916","2,126","3,958"
"B24050",71.000,"Professional, scientific, and technical services","0","+/-265","0","265"
"B24050",72.000,"Management of companies and enterprises","0","+/-265","0","265"
"B24050",73.000,"Administrative and support and waste management services","3,042","+/-916","2,126","3,958"
"B24050",74.000,"Educational services, and health care and social assistance:","12,936","+/-1,871","11,065","14,807"
"B24050",75.000,"Educa
